Image Name,Computed Full Hash,Extracted Full Hash,WM Present (Top Left),WM Present (Top Right),WM Present (Bottom Left),WM Present (Bottom Right),Total Hamming Distance,E2E_time,Fingerprinting_time,wm_time,ECC_time
wm_1000_transformed.png,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,1011110010101011101001000010101101001001010001001110001010110000001001011001011100101111110001111111001001001011000111110110010100001011010010010100100110110110110110110011011011001000000110001101110111110111110111101000000010000000001100110001111111100001,True,True,True,True,0,0.031696081161499,0.0195350646972656,0.0118398666381835,0.0003044605255126
wm_1001_transformed.jpeg,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111101100110111110110010011010010000000111010000010011011001010011011111001001111011000001101111001000001101100101001111100100,1110101110110110111010110010110010010100010000010001010011011001011110111011111011101011001011101000010001000101100101000100000100111111100110111110110010011010010000000111010000010011011001000011011111001001111011000001101111001000001101100101001111100100,True,True,True,True,2,0.0343952178955078,0.0162310600280761,0.01780366897583,0.0003430843353271
wm_1002_transformed.jpeg,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,1000001001010001011011011010011100111001101011100011111001011110111011100010010101001110111110011111010011011000111010111010000100100110110111010110101100001000110101011000001100011011010011001000100000101100011111000001010110011000001100010100110110101010,True,True,True,True,0,0.0568699836730957,0.0290651321411132,0.0262401103973388,0.0004339218139648
wm_1003_transformed.png,1000000110011001101111000100111100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110010011100000110110110001101110010011101111000110010011100100011010111000101110011101000110010010110001100100,1000000110011001101111000100110100111110011001100100001110111010110000011001100100101100111001000110111001100110110100110001101110110101110001000110110011100000110110110001101110010011101111000110010011100100011010111000101110011101000110010010110001100100,True,True,True,True,2,0.0706958770751953,0.0533111095428466,0.0170164108276367,0.0003490447998046
wm_1004_transformed.jpeg,1000000100110001010011001110011001001100110001101111001100111001101100110001100100001110110001100110111011100110111100010011100100000101010111111001111111000110110100010010000101000110100101101001000101111001111111110110100000111110100001101011000100010001,1000000100110001010011001110011001001100110001101111001100111001000010110110011000110010000111011000110011011101110011011110001001110011000010100011110110111011100011011011000100101111001111111010110100000111110100001101011100100010001,False,True,False,False,99,0.0164074897766113,0.0042424201965332,0.0110845565795898,0.0010640621185302
wm_1005_transformed.jpeg,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000011001011111000000111,1001111011110111111000000001110111100011100010001100001111110001100110111100011100011100110001111011100011110000010001100011100010011110000000110100001000001110011000011110111110010011110001110100011111110001101111001111000001000000000011001011111000000111,True,True,True,True,0,0.0243518352508544,0.0099389553070068,0.01408052444458,0.0003163814544677
wm_1006_transformed.png,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,1011100010010101111110100101111111101001011000000100010110111010101001011100100101100111011001001010010011100011100110010100110101100110100001110110011010110101100100111100101010011000110110011101001001000100101000011010001011010011010101110011001001100010,True,True,True,True,0,0.0421688556671142,0.0293569564819335,0.0124809741973876,0.000314712524414
wm_1007_transformed.jpeg,1101000101000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011110100011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,1101000111000100110011010000000110100100111100010010101101011110011010001011010101111111110011111101010000111100100111111101001110101101001011010000000011110000011010100000111101001000101101010101010011010010100000110000110110010101001101000111111010100011,True,True,True,True,2,0.0346057415008544,0.0174887180328369,0.0167617797851562,0.0003378391265869
wm_1008_transformed.jpeg,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111010110100100110111101001100100010001011101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,1001101100111001001011001001011001100100110101001001101101001101100110010001001110011011011010010110010011010110100110010111000110100100110111101001100100010001111101010110110001010001001101100111010101001110011001001001111010011011000010010110010011001110,True,True,True,True,2,0.0632152557373046,0.019345998764038,0.0432527065277099,0.0005912780761718
wm_1009_transformed.png,1101110110001000100011011000100100001100100010000110110111101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,1101110110011000100011011000100100001100100010000110110110101011111011011000100110100101010110110010010111001011011000010101101110001011010110111001110001011010100100010101001001010111010101100111101101010110101000000100010000001110101001100110111110111100,True,True,True,True,2,0.0651309490203857,0.0498337745666503,0.0149526596069335,0.0003266334533691
